age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,two_year_recid,c_jail_in,c_jail_out
63,F,Hispanic,Greater than 45,Low,Male,1,-26,1,0,0,1/10/2014 9:45,1/25/2014 5:08
32,F,African-American,25 - 45,High,Female,4,-7,10,1,1,4/16/2014 9:55,4/23/2014 5:27
29,F,Hispanic,25 - 45,Low,Male,1,-1,4,0,0,9/5/2013 6:24,9/6/2013 3:39
26,M,African-American,25 - 45,Low,Female,2,-1,4,1,1,3/9/2013 7:15,3/10/2013 1:31
39,M,Caucasian,25 - 45,Low,Male,1,-1,4,0,0,2/10/2014 10:59,2/14/2014 9:09
30,F,Caucasian,25 - 45,Medium,Female,3,0,7,1,1,5/2/2013 4:01,10/14/2014 6:03
30,F,African-American,25 - 45,Medium,Male,1,0,7,0,0,3/2/2013 1:19,5/11/2013 4:23
48,M,Caucasian,Greater than 45,Low,Male,2,-1,2,0,0,9/25/2013 12:51,9/26/2013 8:42
22,F,African-American,Less than 25,Low,Male,1,-1,2,0,0,5/15/2013 12:16,5/16/2013 9:03
46,F,Caucasian,Greater than 45,Low,Male,6,22,1,1,1,3/5/2013 9:31,3/28/2013 1:40
31,F,Caucasian,25 - 45,Medium,Male,0,0,5,0,0,4/20/2013 2:52,4/22/2013 9:19
25,M,African-American,25 - 45,Low,Male,1,-1,2,1,1,9/16/2013 3:35,9/18/2013 1:39
23,F,Hispanic,Less than 25,Low,Male,0,-1,3,0,0,9/8/2013 1:03,9/8/2013 2:03
32,F,African-American,25 - 45,Medium,Female,5,-1,7,0,0,2/17/2013 7:51,2/18/2013 10:17
52,M,Hispanic,Greater than 45,Low,Male,2,-1,1,0,0,3/4/2013 10:07,3/7/2013 11:56
62,F,African-American,Greater than 45,Low,Male,8,0,4,0,0,2/5/2013 12:23,2/21/2013 4:06
31,F,Hispanic,25 - 45,High,Male,8,29,9,1,1,8/23/2013 5:18,12/18/2013 10:43
28,M,African-American,25 - 45,Medium,Male,6,-1,6,1,1,3/17/2013 9:01,3/18/2013 1:40
54,F,Hispanic,Greater than 45,Low,Male,2,-1,1,0,0,8/28/2013 2:23,3/4/2014 11:31
58,F,Hispanic,Greater than 45,Low,Male,0,-1,2,0,0,3/13/2013 10:02,3/14/2013 2:21
78,M,Caucasian,Greater than 45,Low,Male,1,-1,1,1,1,9/19/2014 10:36,9/20/2014 7:10
56,F,Caucasian,Greater than 45,Low,Male,0,-1,1,0,0,3/2/2014 3:51,3/3/2014 7:47
24,F,Other,Less than 25,Low,Male,0,-1,2,0,0,1/13/2014 9:13,1/15/2014 8:37
22,F,African-American,Less than 25,Medium,Male,1,0,5,1,1,4/24/2014 1:23,4/24/2014 1:25
47,M,African-American,Greater than 45,High,Male,23,-1,8,1,1,2/2/2013 8:19,2/3/2013 5:06
23,M,African-American,Less than 25,Low,Male,0,-1,2,1,1,1/5/2014 11:08,1/6/2014 12:02
57,F,Hispanic,Greater than 45,Low,Male,1,0,1,0,0,10/25/2013 9:20,11/14/2013 2:05
66,F,African-American,Greater than 45,Low,Male,3,-10,1,1,0,6/1/2013 11:04,6/3/2013 11:25
45,M,Caucasian,Greater than 45,Low,Male,8,0,4,1,1,2/17/2014 2:38,4/29/2014 4:18
37,M,African-American,25 - 45,High,Male,2,0,9,1,1,12/24/2013 3:40,12/24/2013 8:53
39,F,Caucasian,25 - 45,Low,Male,0,0,4,1,1,3/2/2014 5:08,3/3/2014 3:17
26,F,African-American,25 - 45,High,Male,9,0,9,1,1,11/14/2014 1:28,2/1/2015 8:34
45,F,Caucasian,Greater than 45,Low,Male,2,-1,3,0,0,1/31/2013 4:11,1/25/2014 3:27
23,F,African-American,Less than 25,Low,Male,0,-1,3,1,1,4/25/2014 10:29,4/26/2014 9:57
34,M,African-American,25 - 45,Low,Male,2,0,2,1,0,1/31/2014 12:35,2/26/2014 5:50
23,M,African-American,Less than 25,Low,Female,1,-1,4,0,0,8/20/2013 11:57,8/21/2013 7:50
36,M,Other,25 - 45,Low,Male,2,-1,3,1,1,1/27/2014 10:23,1/30/2014 10:04
50,F,Caucasian,Greater than 45,Low,Male,1,-4,1,0,0,9/12/2013 9:32,9/14/2013 3:06
37,M,Caucasian,25 - 45,Low,Female,0,-1,3,0,0,11/7/2013 2:53,11/7/2013 9:00
44,M,Caucasian,25 - 45,Low,Male,4,0,4,0,0,1/6/2013 4:51,1/7/2013 10:41
35,F,African-American,25 - 45,High,Female,23,-1,9,1,1,7/12/2014 3:02,7/14/2014 5:19
24,F,Other,Less than 25,Medium,Male,5,-1,5,1,1,10/7/2014 12:01,10/8/2014 8:26
26,F,African-American,25 - 45,High,Male,2,-1,10,1,1,4/17/2013 6:43,4/18/2013 10:07
27,M,African-American,25 - 45,Low,Male,0,-1,2,0,0,3/25/2013 12:25,3/28/2013 5:58
28,F,African-American,25 - 45,High,Female,0,0,8,0,0,10/29/2013 4:01,11/27/2013 6:51
28,F,Caucasian,25 - 45,High,Female,7,-1,9,1,1,10/9/2013 9:15,10/10/2013 9:46
38,F,African-American,25 - 45,Low,Male,2,-1,1,0,0,3/19/2013 4:21,3/20/2013 9:34
28,F,African-American,25 - 45,High,Female,1,-1,9,0,0,1/1/2013 6:27,2/9/2013 2:24
56,F,Caucasian,Greater than 45,Low,Male,7,-1,1,1,1,3/19/2013 11:00,3/20/2013 1:32
38,F,African-American,25 - 45,High,Male,15,-1,9,0,0,2/18/2013 9:26,2/20/2013 3:43
28,M,African-American,25 - 45,Medium,Male,2,-1,5,0,0,10/30/2013 7:57,10/31/2013 1:45
51,M,Caucasian,Greater than 45,Low,Female,0,-1,1,1,1,1/12/2014 8:37,1/13/2014 2:00
51,M,Caucasian,Greater than 45,Low,Male,0,-1,2,0,0,10/30/2013 11:27,10/31/2013 8:46
36,M,Other,25 - 45,Low,Male,1,-1,1,1,1,1/6/2013 9:15,1/7/2013 11:01
48,F,African-American,Greater than 45,Low,Male,0,-1,1,0,0,1/12/2013 6:40,1/13/2013 9:03
37,F,Caucasian,25 - 45,Low,Male,4,0,3,1,1,4/17/2013 4:44,4/19/2013 1:08
30,F,African-American,25 - 45,Medium,Female,2,-1,7,0,0,5/12/2013 6:56,5/15/2013 2:06
41,M,African-American,25 - 45,Medium,Female,5,0,6,0,0,11/5/2013 2:09,11/5/2013 7:57
27,F,African-American,25 - 45,High,Male,11,-1,10,1,1,4/23/2013 7:22,12/2/2013 11:28
37,M,African-American,25 - 45,Low,Male,0,-1,1,1,0,2/16/2013 7:22,2/18/2013 2:10
33,F,Other,25 - 45,Low,Male,4,0,4,1,1,4/30/2014 2:37,5/2/2014 5:55
54,F,African-American,Greater than 45,High,Male,11,-1,9,0,0,5/6/2013 8:51,9/13/2013 5:58
23,F,African-American,Less than 25,High,Male,2,-1,9,0,0,5/8/2013 10:09,7/19/2013 6:36
41,M,African-American,25 - 45,Low,Male,0,0,1,0,0,1/25/2014 9:44,1/26/2014 6:31
52,F,Caucasian,Greater than 45,Low,Male,0,-1,1,0,0,5/15/2013 11:15,5/16/2013 8:50
43,F,Caucasian,25 - 45,Low,Male,13,0,4,1,1,2/20/2013 1:55,4/12/2013 9:45
52,F,African-American,Greater than 45,Low,Male,0,-1,4,0,0,2/3/2014 3:50,2/17/2014 2:20
28,F,Caucasian,25 - 45,Low,Male,1,-3,1,0,0,5/14/2013 4:20,5/17/2013 10:53
30,M,African-American,25 - 45,High,Male,11,-1,9,1,1,8/5/2014 3:19,8/6/2014 8:40
28,F,Caucasian,25 - 45,Medium,Male,1,0,5,0,0,9/27/2013 4:35,10/3/2013 8:39
22,F,African-American,Less than 25,Low,Male,0,-1,4,0,0,2/21/2013 3:42,2/22/2013 1:52
30,F,African-American,25 - 45,Low,Male,4,0,2,0,0,3/5/2013 4:44,3/5/2013 1:41
25,F,Hispanic,25 - 45,Low,Male,4,0,4,0,0,11/3/2013 2:47,11/4/2013 7:59
31,F,Caucasian,25 - 45,High,Male,0,-1,8,1,1,12/30/2014 4:53,1/30/2015 4:31
37,F,Caucasian,25 - 45,Low,Male,0,-1,2,1,1,4/18/2014 5:22,5/23/2014 5:31
32,F,African-American,25 - 45,High,Male,14,-1,9,0,0,12/16/2013 5:05,12/17/2013 8:47
53,M,Caucasian,Greater than 45,Low,Male,1,-1,1,0,0,1/15/2013 5:53,1/16/2013 7:01
28,F,African-American,25 - 45,High,Male,25,29,8,1,1,1/8/2014 11:38,2/3/2014 10:50
44,M,Caucasian,25 - 45,Medium,Male,8,-1,5,1,1,4/10/2013 9:31,4/15/2013 9:09
25,F,African-American,25 - 45,Low,Male,0,0,3,0,0,9/6/2013 1:00,9/6/2013 9:12
22,M,Caucasian,Less than 25,High,Male,1,0,8,1,1,1/31/2013 12:38,2/6/2013 11:18
37,M,Other,25 - 45,Low,Female,0,-1,1,0,0,12/8/2013 1:55,12/9/2013 2:00
40,F,Other,25 - 45,Low,Female,3,-1,2,0,0,10/22/2013 9:03,10/23/2013 9:05
31,M,Hispanic,25 - 45,Low,Female,0,-1,2,0,0,3/8/2013 9:57,3/9/2013 7:56
23,F,Hispanic,Less than 25,Medium,Male,1,-1,6,1,1,1/30/2013 1:13,1/31/2013 7:24
23,F,Caucasian,Less than 25,Medium,Female,5,-1,5,1,1,3/11/2014 7:31,3/12/2014 1:39
24,M,Hispanic,Less than 25,High,Male,0,-3,8,0,0,2/1/2013 9:51,2/2/2013 1:42
29,M,African-American,25 - 45,Low,Male,1,-1,3,0,0,3/31/2014 2:14,4/1/2014 1:22
20,F,African-American,Less than 25,High,Male,1,-1,8,1,1,11/17/2013 4:24,11/18/2013 7:25
30,F,African-American,25 - 45,Medium,Male,2,-1,6,1,1,2/13/2013 11:48,2/15/2013 5:23
39,F,Other,25 - 45,Low,Male,0,-1,1,0,0,3/11/2013 10:17,3/12/2013 7:59
27,F,African-American,25 - 45,Low,Male,4,-1,4,0,0,8/6/2013 9:00,8/7/2013 8:23
37,F,African-American,25 - 45,Low,Female,2,0,1,0,0,12/3/2013 12:48,12/4/2013 7:43
20,F,African-American,Less than 25,High,Male,0,-1,8,0,0,2/18/2014 9:37,2/21/2014 4:07
22,F,Hispanic,Less than 25,Medium,Male,0,0,7,0,0,4/20/2013 2:16,4/22/2013 3:48
52,F,African-American,Greater than 45,Low,Female,0,-1,1,0,0,8/1/2013 10:03,8/2/2013 2:00
23,F,African-American,Less than 25,Low,Female,0,-1,4,1,1,8/1/2014 9:19,8/5/2014 4:16
48,F,African-American,Greater than 45,Low,Female,0,-1,2,0,0,11/12/2013 10:24,11/14/2013 6:47
25,F,Caucasian,25 - 45,Medium,Male,0,0,5,0,0,4/20/2013 2:39,4/20/2013 7:15
27,F,Caucasian,25 - 45,Medium,Male,0,-1,6,1,1,4/7/2013 11:02,4/9/2013 4:14
30,F,African-American,25 - 45,Medium,Male,11,0,7,1,1,10/2/2014 3:21,10/3/2014 3:32
22,M,African-American,Less than 25,High,Male,3,-1,10,1,1,1/10/2013 3:17,1/11/2013 11:36
22,F,Caucasian,Less than 25,Low,Female,1,-1,3,0,0,12/30/2013 10:48,12/31/2013 9:49
41,M,African-American,25 - 45,Low,Female,2,-1,3,0,0,8/4/2013 7:42,8/5/2013 6:31
25,F,Other,25 - 45,Low,Female,0,-1,2,0,0,1/28/2014 10:39,1/29/2014 8:33
52,F,African-American,Greater than 45,Medium,Male,3,0,6,1,1,12/10/2013 12:12,1/4/2014 10:22
43,F,African-American,25 - 45,Low,Male,0,-1,1,0,0,4/4/2013 7:55,5/15/2013 8:09
37,F,Caucasian,25 - 45,Low,Male,3,-4,1,0,0,3/1/2014 11:39,3/4/2014 9:02
70,M,Caucasian,Greater than 45,Low,Male,1,-13,1,0,0,4/5/2013 11:19,4/18/2013 10:45
46,F,Caucasian,Greater than 45,Low,Male,3,-1,4,0,0,4/30/2013 4:31,5/14/2013 9:41
21,M,African-American,Less than 25,High,Male,0,-1,9,1,1,3/3/2013 4:32,3/4/2013 7:27
26,M,African-American,25 - 45,High,Male,1,-1,8,1,1,7/14/2014 6:15,7/16/2014 2:43
38,F,Hispanic,25 - 45,Low,Male,3,23,1,1,1,7/3/2013 3:38,7/5/2013 1:58
34,M,Caucasian,25 - 45,Low,Male,5,-1,4,0,0,1/19/2014 3:20,1/20/2014 7:58
34,M,African-American,25 - 45,Low,Male,5,-1,4,0,0,12/3/2013 9:45,12/4/2013 8:51
23,F,Caucasian,Less than 25,Medium,Male,0,0,5,1,1,2/27/2014 12:30,2/28/2014 4:08
34,F,African-American,25 - 45,Low,Male,5,-1,4,1,1,1/30/2013 11:54,2/2/2013 7:32
39,F,African-American,25 - 45,Low,Male,6,-1,3,1,1,11/4/2013 6:35,11/7/2013 3:15
24,F,Other,Less than 25,Low,Male,0,-1,3,0,0,4/8/2013 8:55,4/9/2013 10:21
58,F,Caucasian,Greater than 45,Low,Male,2,-1,3,0,0,2/22/2013 7:47,2/24/2013 2:27
21,M,African-American,Less than 25,Medium,Female,0,0,6,0,0,1/1/2013 4:17,1/2/2013 1:14
23,M,African-American,Less than 25,High,Male,4,-11,8,1,1,11/25/2013 6:26,12/6/2013 10:30
62,F,Caucasian,Greater than 45,Low,Male,0,0,1,0,0,1/5/2013 4:35,1/7/2013 3:18
37,F,Caucasian,25 - 45,Low,Male,5,-1,3,0,0,12/1/2013 4:23,12/12/2013 3:25
43,F,Other,25 - 45,Low,Male,2,-1,2,1,1,8/15/2013 6:13,8/23/2013 3:50
32,F,African-American,25 - 45,Low,Female,5,0,1,0,0,12/1/2013 12:02,12/1/2013 9:53
